"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="4999","鑫禾","37","0","0","2019","19'07/12","3.5","47.2","43.7","-6.7","-15.3","-10.2","261","","0","","","","","",""
="5007","三星","58.2","-0.1","-0.17","2019","19'06/19","3","55.1","52.1","+6.1","+11.7","+3.1","135","","0","","","","","",""
="5203","訊連","92.9","-0.6","-0.64","2019","19'08/14","2.99","85","82","+10.9","+13.3","+7.9","1","","0","","","","","",""
="5215","科嘉-KY","45.45","-0.4","-0.87","2019","19'07/09","2.5","43.8","41.3","+4.15","+10","+1.65","1","","0","","","","","",""
="5222","全訊","184.5","-0.5","-0.27","2019","19'08/27","0.5","71.06","","","","+113.44","1","19'08/27","0.5","71.06","","","","+113.44","1"
="5225","東科-KY","43.55","+1.05","+2.47","2019","19'06/26","1.3","34.1","32.8","+10.75","+32.8","+9.45","4","","0","","","","","",""
="5234","達興材料","145.5","0","0","2019","19'06/13","5","90","85","+60.5","+71.2","+55.5","18","","0","","","","","",""
="5243","乙盛-KY","74.6","+0.1","+0.13","2019","19'08/07","1.5","38.35","36.85","+37.75","+102","+36.25","2","","0","","","","","",""
="5244","弘凱","31.85","-0.25","-0.78","2019","19'07/08","1","11.37","","","","+20.48","46","","0","","","","","",""
="5258","虹堡","116","-5","-4.13","2019","","0","","","","","","","","0","","","","","",""
="5269","祥碩","998","-32","-3.11","2019","19'08/15","12","556","544","+454","+83.5","+442","2","","0","","","","","",""
="5283","禾聯碩","113.5","-3","-2.58","2019","19'07/26","9","106.5","97.5","+16","+16.4","+7","105","","0","","","","","",""
="5284","jpp-KY","139.5","-1.5","-1.06","2019","19'07/16","2.6","60.7","58.1","+81.4","+140","+78.8","832","","0","","","","","",""
="5285","界霖","82.2","+1.6","+1.99","2019","19'08/13","3.54","63.6","60.1","+22.1","+36.8","+18.6","66","","0","","","","","",""
="5288","豐祥-KY","186.5","+3","+1.63","2019","19'08/19","5","136.5","131.5","+55","+41.8","+50","372","","0","","","","","",""
="5306","桂盟","154","-3.5","-2.22","2019","19'07/23","4.5","105.5","101","+53","+52.5","+48.5","14","","0","","","","","",""
="5388","中磊","116","-1","-0.85","2019","19'07/04","2.5","67.6","65.1","+50.9","+78.2","+48.4","2","","0","","","","","",""
